Strategy,eta_0,eta_0.1,eta_0.2,eta_0.3,eta_0.4,eta_0.5,eta_0.6,eta_0.7,eta_0.8,eta_0.9,eta_1
HT_SRS,93.54712352,85.02864616,99.34119537,92.44729272,85.35224801,103.2213071,99.37833551,109.136333,181.8426221,446.3106773,1309.037466
GREG_SRS,0.004500973,0.016277824,0.052665063,0.181914387,0.672813488,2.277431491,7.772835939,27.7980397,98.73386496,333.7855053,1035.474313
HT_RS,405.6116225,348.4024662,365.3942266,408.4247529,356.6197956,386.9615808,400.9128821,421.004717,531.6965681,654.810231,1427.353069
GREG_RS,0.004721975,0.016862228,0.054358047,0.195730434,0.688606597,2.397916441,7.164333796,26.50212777,91.32152505,316.346006,965.100391
RHC,358.5826116,375.3179737,408.2455354,365.4272345,384.8561372,362.6141796,390.1058575,367.9954017,506.0329729,645.8651973,1432.966225
GREG_RHC,0.004930095,0.016696173,0.054653371,0.192754677,0.68272977,2.310521948,7.241563386,25.16646401,88.35735399,310.139915,957.885641
